,0
0,14
1,33
2,15
3,23
4,12
5,14
6,39
7,15
8,42
9,20
10,45
11,19
12,30
13,12
14,22
15,19
16,16
17,20
18,17
19,14
20,14
21,18
22,28
23,26
24,12
25,27
26,9
27,21
28,27
29,30
30,11
31,21
32,8
33,38
34,83
35,13
36,13
37,44
38,36
39,23
40,12
41,10
42,20
43,19
44,10
45,14
46,13
47,17
48,25
49,14
50,17
51,20
52,19
53,32
54,37
55,28
56,13
57,55
58,11
59,22
60,12
61,9
62,14
63,52
64,16
65,15
66,33
67,20
68,30
69,18
70,20
71,35
72,16
73,19
74,11
75,19
76,26
77,54
78,18
79,10
80,11
81,16
82,10
83,10
84,21
85,12
86,16
87,10
88,14
89,17
90,30
91,10
92,13
93,19
94,22
95,31
96,14
97,12
98,14
99,20
100,21
101,10
102,30
103,17
104,29
105,34
106,17
107,32
108,8
109,13
110,19
111,16
112,25
113,21
114,9
115,8
116,9
117,10
118,11
119,32
120,16
121,14
122,31
123,13
124,9
125,10
126,10
127,13
128,10
129,19
130,10
131,10
132,41
133,8
134,53
135,12
136,18
137,12
138,9
139,11
140,12
141,13
142,10
143,12
144,10
145,47
146,13
147,19
148,9
149,13
150,17
151,14
152,9
153,12
154,12
155,9
156,12
157,9
158,11
159,12
160,13
161,11
162,36
163,12
164,12
165,10
166,10
167,28
168,10
169,10
170,21
171,9
172,10
173,10
174,9
175,8
176,31
177,26
178,25
179,30
180,14
181,19
182,13
183,8
184,10
185,12
186,32
187,11
188,14
189,18
190,12
191,10
192,25
193,16
194,10
195,57
196,29
197,10
198,9
199,10
200,10
201,27
202,11
203,9
204,14
205,25
206,11
207,29
208,59
209,10
210,10
211,25
212,16
213,16
214,21
215,76
216,18
217,9
218,10
219,21
220,36
221,9
222,8
223,132
224,53
225,9
226,62
227,16
228,10
229,10
230,16
231,14
232,14
233,10
234,10
235,25
236,14
237,22
238,31
239,28
240,26
241,40
242,48
243,10
244,10
245,57
246,12
247,11
248,54
249,27
250,52
251,36
252,11
253,36
254,68
255,34
256,24
257,33
258,10
259,10
260,72
261,35
262,51
263,106
264,143
265,213
266,296
267,105
268,156
269,103
270,95
271,161
272,183
273,104
274,120
275,133
276,120
277,141
278,133
279,76
280,55
281,51
282,76
283,76
284,50
285,81
286,74
287,39
288,127
289,29
290,8
291,114
292,58
293,87
294,48
295,46
296,68
297,51
298,42
299,39
300,27
301,70
302,44
303,70
304,73
305,41
306,55
307,39
308,46
309,433
310,82
311,185
312,90
313,159
314,165
315,131
316,131
317,80
318,80
319,54
320,83
321,36
322,65
323,79
324,49
325,38
326,29
327,68
328,46
329,47
330,61
331,64
332,73
333,131
334,198
335,72
336,147
337,35
338,113
339,85
340,136
341,126
342,145
343,152
344,123
345,124
346,195
347,91
348,103
349,81
350,152
351,88
352,100
353,98
354,107
355,500
356,178
357,188
358,411
359,178
360,155
361,169
362,170
363,500
364,362
365,254
366,276
367,304
368,180
369,287
370,262
371,194
372,209
373,163
374,172
375,167
376,175
377,257
378,155
379,264
380,464
381,247
382,500
383,500
384,500
385,263
386,345
387,243
388,500
389,169
390,405
391,353
392,335
393,500
394,413
395,355
396,500
397,500
398,500
399,500
