,0
0,32
1,16
2,9
3,18
4,21
5,17
6,17
7,32
8,21
9,25
10,23
11,12
12,23
13,26
14,42
15,25
16,32
17,40
18,35
19,33
20,16
21,18
22,16
23,17
24,20
25,34
26,10
27,22
28,12
29,23
30,17
31,12
32,10
33,24
34,27
35,9
36,19
37,12
38,18
39,24
40,33
41,16
42,16
43,15
44,18
45,15
46,13
47,14
48,27
49,24
50,10
51,26
52,60
53,17
54,11
55,15
56,28
57,10
58,17
59,20
60,10
61,20
62,13
63,13
64,11
65,14
66,14
67,31
68,24
69,11
70,16
71,32
72,10
73,26
74,14
75,20
76,15
77,27
78,31
79,20
80,9
81,13
82,12
83,13
84,13
85,13
86,31
87,19
88,30
89,12
90,12
91,25
92,9
93,25
94,10
95,23
96,12
97,19
98,19
99,14
100,9
101,13
102,10
103,8
104,14
105,12
106,11
107,10
108,13
109,13
110,16
111,13
112,13
113,11
114,11
115,12
116,45
117,34
118,13
119,9
120,20
121,30
122,23
123,15
124,44
125,14
126,15
127,23
128,31
129,32
130,10
131,9
132,13
133,14
134,11
135,12
136,18
137,12
138,18
139,12
140,17
141,18
142,32
143,14
144,16
145,10
146,16
147,10
148,9
149,18
150,9
151,11
152,21
153,13
154,13
155,13
156,10
157,10
158,8
159,27
160,9
161,27
162,10
163,10
164,15
165,11
166,8
167,10
168,9
169,13
170,12
171,11
172,10
173,23
174,12
175,17
176,30
177,11
178,17
179,9
180,9
181,10
182,8
183,10
184,10
185,21
186,11
187,14
188,20
189,18
190,12
191,9
192,11
193,10
194,9
195,11
196,101
197,36
198,9
199,21
200,10
201,10
202,9
203,9
204,10
205,12
206,68
207,13
208,12
209,9
210,12
211,18
212,10
213,50
214,28
215,98
216,11
217,14
218,19
219,23
220,45
221,17
222,19
223,17
224,29
225,15
226,50
227,54
228,36
229,48
230,72
231,34
232,11
233,29
234,29
235,42
236,88
237,29
238,11
239,10
240,71
241,63
242,23
243,10
244,9
245,11
246,9
247,26
248,14
249,20
250,9
251,126
252,76
253,10
254,240
255,151
256,51
257,14
258,10
259,72
260,13
261,18
262,9
263,12
264,70
265,10
266,12
267,86
268,172
269,10
270,64
271,11
272,10
273,9
274,9
275,30
276,10
277,34
278,10
279,42
280,18
281,15
282,50
283,126
284,13
285,73
286,62
287,12
288,22
289,177
290,67
291,10
292,186
293,43
294,10
295,39
296,20
297,31
298,48
299,47
300,21
301,39
302,19
303,25
304,33
305,10
306,20
307,18
308,39
309,29
310,71
311,44
312,34
313,28
314,200
315,66
316,55
317,71
318,32
319,65
320,41
321,97
322,73
323,352
324,334
325,500
326,500
327,247
328,276
329,500
330,82
331,371
332,477
333,500
334,500
335,337
336,93
337,500
338,500
339,104
340,500
341,500
342,500
343,500
344,500
345,500
346,500
347,500
348,500
349,500
350,500
351,500
352,500
353,500
354,500
355,500
356,500
357,500
358,500
359,500
360,500
361,500
362,500
363,500
364,500
365,500
366,500
367,500
368,500
369,500
370,500
371,500
372,500
373,500
374,500
375,500
376,500
377,500
378,500
379,500
380,500
381,500
382,500
383,500
384,500
385,500
386,500
387,500
388,500
389,500
390,500
391,500
392,500
393,500
394,500
395,500
396,500
397,352
398,500
399,384
