,0
0,19
1,30
2,13
3,12
4,17
5,14
6,15
7,15
8,23
9,76
10,10
11,15
12,17
13,16
14,15
15,9
16,14
17,30
18,21
19,17
20,20
21,58
22,22
23,46
24,15
25,23
26,19
27,15
28,29
29,25
30,21
31,13
32,13
33,13
34,34
35,13
36,26
37,13
38,9
39,16
40,18
41,28
42,15
43,20
44,32
45,16
46,10
47,12
48,11
49,20
50,11
51,18
52,34
53,23
54,58
55,18
56,34
57,11
58,14
59,18
60,38
61,16
62,20
63,19
64,34
65,14
66,9
67,14
68,15
69,15
70,25
71,18
72,10
73,21
74,25
75,34
76,11
77,10
78,12
79,30
80,11
81,14
82,19
83,11
84,9
85,32
86,16
87,9
88,22
89,12
90,11
91,11
92,9
93,8
94,11
95,18
96,38
97,14
98,12
99,8
100,13
101,14
102,8
103,13
104,9
105,26
106,16
107,11
108,9
109,25
110,62
111,14
112,21
113,15
114,20
115,19
116,12
117,15
118,21
119,29
120,14
121,21
122,9
123,10
124,20
125,11
126,12
127,9
128,9
129,11
130,12
131,11
132,13
133,10
134,11
135,9
136,10
137,13
138,12
139,8
140,9
141,24
142,33
143,9
144,13
145,9
146,8
147,10
148,15
149,12
150,16
151,12
152,9
153,11
154,12
155,10
156,27
157,11
158,11
159,9
160,9
161,13
162,9
163,12
164,9
165,15
166,18
167,9
168,9
169,15
170,9
171,10
172,15
173,24
174,10
175,9
176,11
177,9
178,11
179,11
180,9
181,12
182,44
183,11
184,10
185,9
186,9
187,9
188,9
189,10
190,9
191,10
192,11
193,10
194,10
195,9
196,13
197,11
198,11
199,11
200,9
201,10
202,10
203,8
204,10
205,9
206,12
207,9
208,9
209,19
210,10
211,9
212,9
213,9
214,10
215,9
216,18
217,40
218,12
219,12
220,12
221,9
222,22
223,13
224,10
225,10
226,9
227,10
228,10
229,15
230,19
231,20
232,10
233,10
234,24
235,15
236,8
237,11
238,23
239,10
240,18
241,21
242,9
243,12
244,10
245,14
246,18
247,18
248,9
249,20
250,9
251,9
252,8
253,9
254,10
255,10
256,8
257,10
258,10
259,10
260,11
261,10
262,9
263,10
264,9
265,10
266,11
267,9
268,24
269,10
270,10
271,11
272,16
273,8
274,10
275,14
276,12
277,9
278,13
279,11
280,11
281,10
282,13
283,18
284,29
285,21
286,16
287,12
288,10
289,13
290,14
291,10
292,27
293,21
294,9
295,18
296,26
297,9
298,14
299,10
300,11
301,12
302,17
303,47
304,16
305,23
306,20
307,10
308,26
309,33
310,23
311,20
312,43
313,24
314,13
315,11
316,9
317,10
318,12
319,26
320,14
321,26
322,15
323,11
324,14
325,8
326,11
327,16
328,23
329,14
330,16
331,10
332,18
333,14
334,20
335,13
336,12
337,14
338,13
339,14
340,10
341,14
342,10
343,10
344,17
345,49
346,19
347,10
348,17
349,40
350,82
351,19
352,14
353,14
354,12
355,20
356,13
357,14
358,20
359,16
360,10
361,16
362,15
363,20
364,17
365,18
366,32
367,16
368,14
369,10
370,9
371,14
372,10
373,10
374,14
375,11
376,19
377,32
378,15
379,18
380,54
381,21
382,16
383,32
384,14
385,18
386,27
387,13
388,59
389,30
390,17
391,77
392,22
393,38
394,9
395,11
396,27
397,9
398,10
399,22
