,0
0,21
1,10
2,29
3,34
4,19
5,34
6,26
7,25
8,18
9,43
10,12
11,18
12,15
13,14
14,11
15,31
16,59
17,18
18,14
19,22
20,21
21,21
22,15
23,10
24,17
25,15
26,16
27,11
28,32
29,21
30,19
31,27
32,15
33,15
34,36
35,21
36,18
37,20
38,52
39,9
40,21
41,16
42,14
43,16
44,25
45,12
46,33
47,17
48,12
49,22
50,56
51,12
52,15
53,14
54,21
55,13
56,64
57,24
58,22
59,16
60,28
61,41
62,21
63,23
64,14
65,11
66,24
67,47
68,25
69,11
70,15
71,34
72,16
73,15
74,16
75,15
76,21
77,15
78,21
79,23
80,11
81,10
82,12
83,15
84,11
85,10
86,18
87,33
88,23
89,14
90,25
91,10
92,15
93,10
94,11
95,12
96,13
97,15
98,11
99,11
100,12
101,13
102,14
103,14
104,11
105,9
106,11
107,12
108,16
109,10
110,12
111,11
112,9
113,11
114,12
115,11
116,11
117,10
118,39
119,20
120,10
121,11
122,13
123,13
124,60
125,13
126,11
127,11
128,13
129,10
130,11
131,13
132,22
133,14
134,16
135,9
136,8
137,10
138,8
139,9
140,15
141,32
142,11
143,8
144,11
145,11
146,21
147,10
148,9
149,32
150,14
151,11
152,13
153,10
154,12
155,10
156,11
157,12
158,16
159,11
160,9
161,11
162,9
163,8
164,12
165,10
166,11
167,12
168,9
169,11
170,11
171,10
172,10
173,10
174,10
175,11
176,15
177,25
178,9
179,8
180,9
181,37
182,8
183,9
184,9
185,10
186,14
187,12
188,9
189,10
190,10
191,8
192,9
193,12
194,9
195,9
196,12
197,12
198,10
199,10
200,9
201,12
202,8
203,9
204,9
205,10
206,12
207,14
208,12
209,9
210,19
211,11
212,19
213,15
214,10
215,9
216,9
217,14
218,10
219,18
220,18
221,15
222,12
223,12
224,15
225,14
226,14
227,14
228,10
229,16
230,11
231,15
232,9
233,17
234,12
235,13
236,14
237,13
238,13
239,12
240,13
241,10
242,16
243,16
244,15
245,14
246,19
247,17
248,14
249,13
250,14
251,27
252,29
253,10
254,25
255,21
256,17
257,29
258,12
259,19
260,11
261,39
262,29
263,20
264,58
265,14
266,14
267,9
268,23
269,22
270,9
271,10
272,14
273,18
274,10
275,15
276,64
277,45
278,17
279,38
280,10
281,36
282,53
283,209
284,278
285,425
286,359
287,180
288,500
289,265
290,500
291,500
292,266
293,155
294,98
295,76
296,59
297,105
298,66
299,500
300,159
301,500
302,198
303,145
304,291
305,142
306,83
307,500
308,366
309,296
310,240
311,194
312,241
313,237
314,11
315,134
316,199
317,107
318,26
319,134
320,101
321,112
322,500
323,115
324,430
325,350
326,412
327,325
328,185
329,233
330,164
331,393
332,182
333,119
334,153
335,117
336,179
337,205
338,189
339,165
340,500
341,239
342,298
343,500
344,500
345,334
346,246
347,290
348,309
349,350
350,226
351,398
352,500
353,500
354,500
355,374
356,500
357,500
358,500
359,500
360,500
361,500
362,500
363,500
364,500
365,500
366,500
367,500
368,500
369,401
370,377
371,444
372,500
373,350
374,500
375,311
376,420
377,500
378,295
379,207
380,213
381,199
382,173
383,125
384,142
385,133
386,125
387,117
388,168
389,143
390,156
391,172
392,145
393,277
394,273
395,259
396,236
397,219
398,151
399,151
