,0
0,19
1,21
2,31
3,21
4,15
5,13
6,14
7,29
8,13
9,18
10,21
11,13
12,44
13,18
14,13
15,11
16,55
17,34
18,20
19,24
20,17
21,17
22,12
23,16
24,19
25,25
26,16
27,19
28,50
29,14
30,20
31,15
32,9
33,37
34,45
35,15
36,10
37,64
38,11
39,19
40,30
41,11
42,29
43,19
44,27
45,12
46,20
47,15
48,17
49,10
50,43
51,18
52,14
53,28
54,15
55,20
56,27
57,39
58,13
59,16
60,18
61,17
62,13
63,19
64,14
65,15
66,30
67,28
68,13
69,10
70,16
71,19
72,18
73,40
74,20
75,18
76,12
77,27
78,30
79,14
80,18
81,21
82,26
83,13
84,23
85,10
86,35
87,9
88,54
89,13
90,15
91,10
92,11
93,10
94,27
95,15
96,15
97,20
98,11
99,15
100,19
101,19
102,37
103,26
104,16
105,22
106,18
107,9
108,20
109,11
110,30
111,23
112,13
113,14
114,10
115,13
116,8
117,9
118,11
119,21
120,12
121,10
122,9
123,13
124,39
125,13
126,10
127,17
128,11
129,10
130,36
131,20
132,9
133,10
134,10
135,11
136,13
137,17
138,15
139,12
140,8
141,9
142,9
143,13
144,13
145,10
146,13
147,11
148,9
149,11
150,44
151,10
152,17
153,10
154,10
155,10
156,10
157,10
158,9
159,8
160,12
161,23
162,12
163,11
164,11
165,9
166,10
167,11
168,9
169,12
170,15
171,10
172,13
173,9
174,13
175,17
176,19
177,14
178,10
179,23
180,18
181,10
182,16
183,12
184,9
185,15
186,10
187,11
188,14
189,13
190,9
191,11
192,16
193,13
194,12
195,12
196,12
197,9
198,10
199,13
200,11
201,9
202,9
203,8
204,12
205,10
206,9
207,11
208,10
209,9
210,14
211,9
212,19
213,17
214,17
215,16
216,12
217,30
218,19
219,15
220,10
221,10
222,9
223,8
224,9
225,8
226,9
227,9
228,10
229,11
230,33
231,22
232,15
233,10
234,9
235,22
236,16
237,13
238,13
239,15
240,14
241,11
242,13
243,31
244,13
245,13
246,12
247,10
248,16
249,16
250,20
251,20
252,18
253,13
254,20
255,15
256,16
257,14
258,24
259,14
260,10
261,14
262,15
263,11
264,24
265,29
266,11
267,10
268,11
269,9
270,13
271,9
272,9
273,13
274,15
275,16
276,14
277,18
278,15
279,15
280,14
281,21
282,10
283,10
284,13
285,13
286,14
287,14
288,13
289,11
290,14
291,28
292,41
293,21
294,16
295,15
296,9
297,24
298,17
299,16
300,28
301,21
302,11
303,11
304,14
305,15
306,10
307,17
308,13
309,12
310,10
311,12
312,38
313,18
314,21
315,14
316,14
317,13
318,10
319,14
320,10
321,13
322,17
323,15
324,15
325,13
326,10
327,9
328,12
329,16
330,13
331,14
332,10
333,21
334,19
335,12
336,11
337,13
338,14
339,10
340,11
341,11
342,11
343,9
344,28
345,23
346,17
347,24
348,49
349,47
350,51
351,26
352,32
353,37
354,32
355,25
356,30
357,22
358,25
359,27
360,178
361,21
362,9
363,10
364,9
365,17
366,10
367,11
368,9
369,9
370,10
371,10
372,10
373,12
374,9
375,9
376,9
377,9
378,9
379,9
380,9
381,10
382,9
383,10
384,9
385,10
386,10
387,10
388,10
389,8
390,13
391,9
392,10
393,9
394,9
395,10
396,10
397,9
398,9
399,41
