,0
0,17
1,10
2,15
3,46
4,16
5,22
6,22
7,25
8,12
9,39
10,19
11,21
12,17
13,24
14,29
15,52
16,16
17,24
18,10
19,11
20,13
21,17
22,20
23,23
24,26
25,22
26,13
27,16
28,16
29,20
30,33
31,24
32,19
33,19
34,49
35,24
36,21
37,23
38,20
39,25
40,14
41,21
42,23
43,9
44,19
45,37
46,13
47,17
48,13
49,14
50,10
51,14
52,14
53,31
54,15
55,9
56,13
57,16
58,14
59,32
60,9
61,11
62,19
63,16
64,16
65,13
66,14
67,16
68,15
69,19
70,9
71,9
72,11
73,11
74,11
75,16
76,13
77,12
78,11
79,8
80,34
81,16
82,10
83,18
84,25
85,11
86,10
87,41
88,18
89,18
90,9
91,10
92,9
93,16
94,14
95,11
96,18
97,9
98,11
99,20
100,32
101,10
102,27
103,14
104,28
105,10
106,12
107,20
108,23
109,19
110,9
111,44
112,11
113,35
114,12
115,16
116,11
117,22
118,9
119,12
120,9
121,9
122,24
123,14
124,12
125,13
126,11
127,34
128,14
129,9
130,14
131,9
132,9
133,9
134,9
135,15
136,18
137,14
138,9
139,11
140,9
141,10
142,12
143,10
144,10
145,10
146,9
147,8
148,9
149,10
150,11
151,9
152,14
153,11
154,8
155,20
156,10
157,11
158,13
159,9
160,14
161,10
162,13
163,8
164,11
165,12
166,13
167,9
168,10
169,10
170,10
171,13
172,24
173,14
174,14
175,19
176,10
177,18
178,12
179,12
180,17
181,18
182,10
183,12
184,9
185,10
186,12
187,11
188,12
189,10
190,15
191,32
192,15
193,11
194,17
195,22
196,23
197,9
198,16
199,12
200,10
201,10
202,9
203,15
204,10
205,11
206,9
207,9
208,9
209,10
210,8
211,12
212,19
213,10
214,67
215,46
216,10
217,28
218,28
219,13
220,15
221,12
222,13
223,20
224,35
225,20
226,17
227,12
228,14
229,12
230,11
231,25
232,16
233,16
234,15
235,29
236,10
237,18
238,28
239,16
240,21
241,17
242,36
243,11
244,10
245,11
246,39
247,12
248,9
249,46
250,19
251,9
252,17
253,12
254,16
255,12
256,27
257,28
258,15
259,15
260,28
261,12
262,9
263,31
264,27
265,10
266,31
267,15
268,10
269,23
270,14
271,30
272,29
273,13
274,43
275,46
276,13
277,15
278,9
279,10
280,40
281,12
282,8
283,29
284,11
285,10
286,9
287,9
288,25
289,17
290,11
291,25
292,13
293,12
294,10
295,10
296,10
297,10
298,28
299,25
300,10
301,24
302,26
303,11
304,17
305,14
306,10
307,21
308,26
309,21
310,10
311,23
312,28
313,11
314,11
315,12
316,12
317,9
318,11
319,10
320,10
321,12
322,19
323,8
324,24
325,17
326,24
327,10
328,23
329,26
330,13
331,16
332,20
333,27
334,20
335,26
336,25
337,42
338,22
339,21
340,21
341,29
342,19
343,27
344,25
345,29
346,25
347,10
348,21
349,27
350,21
351,29
352,25
353,27
354,19
355,33
356,32
357,39
358,24
359,33
360,37
361,35
362,19
363,41
364,25
365,34
366,39
367,24
368,31
369,33
370,36
371,34
372,25
373,25
374,46
375,29
376,36
377,41
378,32
379,26
380,40
381,22
382,30
383,28
384,38
385,40
386,40
387,22
388,42
389,46
390,30
391,36
392,24
393,50
394,34
395,36
396,29
397,41
398,38
399,26
