,0
0,16
1,21
2,11
3,15
4,26
5,31
6,11
7,31
8,28
9,17
10,35
11,31
12,12
13,36
14,10
15,15
16,37
17,20
18,13
19,23
20,14
21,22
22,11
23,16
24,18
25,16
26,18
27,18
28,15
29,20
30,14
31,26
32,33
33,19
34,15
35,19
36,27
37,47
38,27
39,28
40,9
41,12
42,33
43,13
44,11
45,12
46,19
47,26
48,14
49,19
50,21
51,31
52,30
53,8
54,12
55,41
56,13
57,16
58,41
59,24
60,18
61,20
62,34
63,63
64,9
65,10
66,9
67,22
68,11
69,11
70,12
71,31
72,15
73,12
74,9
75,10
76,20
77,13
78,13
79,32
80,17
81,18
82,61
83,8
84,15
85,12
86,19
87,15
88,9
89,10
90,11
91,11
92,16
93,14
94,27
95,12
96,11
97,17
98,10
99,19
100,15
101,19
102,26
103,12
104,13
105,12
106,10
107,22
108,12
109,22
110,13
111,15
112,9
113,12
114,11
115,15
116,16
117,10
118,14
119,15
120,11
121,14
122,19
123,14
124,11
125,10
126,22
127,13
128,65
129,10
130,17
131,22
132,15
133,17
134,13
135,18
136,17
137,10
138,19
139,14
140,9
141,25
142,10
143,9
144,13
145,9
146,13
147,18
148,9
149,8
150,10
151,10
152,10
153,11
154,10
155,9
156,10
157,11
158,13
159,9
160,13
161,12
162,10
163,23
164,10
165,22
166,12
167,33
168,19
169,11
170,9
171,9
172,20
173,17
174,14
175,26
176,10
177,13
178,16
179,13
180,14
181,21
182,23
183,12
184,8
185,9
186,42
187,12
188,12
189,29
190,9
191,11
192,21
193,27
194,9
195,13
196,33
197,20
198,12
199,18
200,12
201,19
202,11
203,27
204,12
205,14
206,13
207,11
208,10
209,22
210,30
211,25
212,35
213,29
214,23
215,10
216,9
217,8
218,16
219,15
220,21
221,10
222,8
223,10
224,9
225,10
226,9
227,8
228,9
229,9
230,11
231,17
232,10
233,10
234,10
235,8
236,22
237,10
238,34
239,10
240,55
241,10
242,47
243,28
244,10
245,10
246,40
247,20
248,12
249,40
250,8
251,9
252,32
253,34
254,38
255,17
256,29
257,45
258,37
259,211
260,25
261,9
262,9
263,14
264,11
265,12
266,69
267,13
268,21
269,37
270,123
271,24
272,96
273,162
274,98
275,99
276,18
277,80
278,200
279,94
280,274
281,161
282,272
283,404
284,282
285,140
286,177
287,141
288,128
289,261
290,124
291,110
292,107
293,123
294,107
295,121
296,137
297,129
298,137
299,134
300,137
301,134
302,123
303,123
304,93
305,160
306,94
307,108
308,141
309,112
310,62
311,103
312,167
313,79
314,136
315,161
316,127
317,67
318,139
319,107
320,157
321,151
322,250
323,333
324,389
325,277
326,149
327,240
328,81
329,127
330,280
331,125
332,104
333,179
334,150
335,273
336,334
337,124
338,222
339,232
340,105
341,145
342,230
343,296
344,273
345,187
346,356
347,135
348,299
349,264
350,333
351,358
352,500
353,399
354,312
355,347
356,35
357,47
358,24
359,33
360,18
361,22
362,25
363,48
364,46
365,46
366,55
367,53
368,61
369,114
370,57
371,108
372,65
373,141
374,87
375,112
376,105
377,82
378,173
379,500
380,249
381,175
382,163
383,197
384,218
385,254
386,116
387,93
388,115
389,138
390,249
391,287
392,217
393,182
394,271
395,281
396,218
397,388
398,434
399,135
